optimizer,hidden_size,loss_fn,hidden_layers,metrics
Adam,0.4,sparse_categorical_crossentropy,2,accuracy,0.9476190209388733
Adam,0.4,sparse_categorical_crossentropy,3,accuracy,0.9480000138282776
Adam,0.8,sparse_categorical_crossentropy,4,accuracy,0.9480952620506287
Adam,0.6,sparse_categorical_crossentropy,2,accuracy,0.9506666660308838
Adam,0.6,sparse_categorical_crossentropy,4,accuracy,0.9506666660308838
Adam,0.8,sparse_categorical_crossentropy,2,accuracy,0.9522857069969177
Adam,0.6,sparse_categorical_crossentropy,2,sparse_categorical_accuracy,0.9529523849487305
Adam,0.8,sparse_categorical_crossentropy,3,sparse_categorical_accuracy,0.9561904668807983
RMSprop,0.4,sparse_categorical_crossentropy,4,sparse_categorical_accuracy,0.958476185798645
Adam,0.8,sparse_categorical_crossentropy,2,sparse_categorical_accuracy,0.9587619304656982
RMSprop,0.4,sparse_categorical_crossentropy,4,accuracy,0.96019047498703
RMSprop,0.4,sparse_categorical_crossentropy,2,accuracy,0.9602857232093811
RMSprop,0.4,sparse_categorical_crossentropy,3,accuracy,0.9610475897789001
RMSprop,0.6,sparse_categorical_crossentropy,4,accuracy,0.961809515953064
RMSprop,0.4,sparse_categorical_crossentropy,2,sparse_categorical_accuracy,0.9626666903495789
RMSprop,0.4,sparse_categorical_crossentropy,3,sparse_categorical_accuracy,0.9641904830932617
RMSprop,0.6,sparse_categorical_crossentropy,2,sparse_categorical_accuracy,0.9655238389968872
RMSprop,0.8,sparse_categorical_crossentropy,4,accuracy,0.9661904573440552
RMSprop,0.8,sparse_categorical_crossentropy,2,sparse_categorical_accuracy,0.9671428799629211
RMSprop,0.6,sparse_categorical_crossentropy,4,sparse_categorical_accuracy,0.9671428799629211
RMSprop,0.6,sparse_categorical_crossentropy,2,accuracy,0.9674285650253296
RMSprop,0.8,sparse_categorical_crossentropy,2,accuracy,0.9678094983100891
RMSprop,0.8,sparse_categorical_crossentropy,3,accuracy,0.9678094983100891
RMSprop,0.8,sparse_categorical_crossentropy,4,sparse_categorical_accuracy,0.9690476059913635
RMSprop,0.6,sparse_categorical_crossentropy,3,sparse_categorical_accuracy,0.9694285988807678
RMSprop,0.6,sparse_categorical_crossentropy,3,accuracy,0.9704762101173401
RMSprop,0.8,sparse_categorical_crossentropy,3,sparse_categorical_accuracy,0.9717142581939697
